"","simulation_time","n_mainland_species","clado_rate","clade_carr_cap","imm_rate","ana_rate","max_area","peak_time","sharpness","total_island_age","sea_level_amplitude","sea_level_frequency","mu_min","mu_max","island_ontogeny","sea_level","extcutoff"
"1",2.1,1000,9e-05,0.0015,1e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"2",2.1,1000,0.00017,0.0015,1e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"3",2.1,1000,9e-05,Inf,1e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"4",2.1,1000,0.00017,Inf,1e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"5",2.1,1000,9e-05,0.0015,2e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"6",2.1,1000,0.00017,0.0015,2e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"7",2.1,1000,9e-05,Inf,2e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"8",2.1,1000,0.00017,Inf,2e-06,1,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"9",2.1,1000,9e-05,0.0015,1e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"10",2.1,1000,0.00017,0.0015,1e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"11",2.1,1000,9e-05,Inf,1e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"12",2.1,1000,0.00017,Inf,1e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"13",2.1,1000,9e-05,0.0015,2e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"14",2.1,1000,0.00017,0.0015,2e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"15",2.1,1000,9e-05,Inf,2e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"16",2.1,1000,0.00017,Inf,2e-06,2,13500,0.4,1,2.392779,0,0,0.8,50,"beta","const",1000
"17",2.1,1000,9e-05,0.0015,1e-06,1,13500,0.4,1,2.392779,0,0,1.6,50,"beta","const",1000
"18",2.1,1000,0.00017,0.0015,1e-06,1,13500,0.4,1,2.392779,0,0,1.6,50,"beta","const",1000
"19",2.1,1000,9e-05,Inf,1e-06,1,13500,0.4,1,2.392779,0,0,1.6,50,"beta","const",1000
"20",2.1,1000,0.00017,Inf,1e-06,1,13500,0.4,1,2.392779,0,0,1.6,50,"beta","const",1000
"21",2.1,1000,9e-05,0.0015,2e-06,1,13500,0.4,1,2.392779,0,0,1.6,50,"beta","const",1000
