"","Cladogenesis","Extinction","Immigration","Anagenesis","Carrying_Capacity","X_s","X_nonend","Cladogenesis_2","Extinction_2","Immigration_2","Carrying_Capacity_2","Anagenesis_2","num_shifts"
"1",1,1,0.01,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"2",2,1,0.01,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"3",1,2,0.01,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"4",2,2,0.01,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"5",1,1,0.02,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"6",2,1,0.02,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"7",1,2,0.02,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"8",2,2,0.02,1,20,0.1,0.1,0.5,0.5,5,150,0,1
"9",1,1,0.01,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"10",2,1,0.01,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"11",1,2,0.01,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"12",2,2,0.01,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"13",1,1,0.02,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"14",2,1,0.02,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"15",1,2,0.02,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"16",2,2,0.02,2,20,0.1,0.1,0.5,0.5,5,150,0,1
"17",1,1,0.01,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"18",2,1,0.01,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"19",1,2,0.01,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"20",2,2,0.01,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"21",1,1,0.02,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"22",2,1,0.02,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"23",1,2,0.02,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"24",2,2,0.02,1,40,0.1,0.1,0.5,0.5,5,150,0,1
"25",1,1,0.01,2,40,0.1,0.1,0.5,0.5,5,150,0,1
"26",2,1,0.01,2,40,0.1,0.1,0.5,0.5,5,150,0,1
"27",1,2,0.01,2,40,0.1,0.1,0.5,0.5,5,150,0,1
