time;M;lac;mu_min;mu_p;K;gam;laa;island_ontogeny;sea_level;max_area;peak_time;sharpness;total_island_age;sea_level_amplitude;sea_level_frequency;island_gradient_angle;extcutoff
2.1;1000;0.00015;0.5;25;0.015;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;Inf;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;0.015;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;Inf;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;0.015;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;Inf;1.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;0.015;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;Inf;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;0.015;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;Inf;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;0.015;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;Inf;5.00E-02;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;Inf;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;0.015;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;Inf;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;0.015;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;Inf;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;0.015;1.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;Inf;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;0.015;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;25;Inf;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;0.015;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;50;Inf;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
2.1;1000;0.00015;0.5;75;0.015;5.00E-01;1;beta;const;13500;0.4;1;2.4;0;0;0;1000
