"time";"M";"lac";"mu";"K";"gam";"laa";"x";"d";"island_ontogeny";"sea_level";"max_area";"current_area";"peak_time";"total_island_age";"sea_level_amplitude";"sea_level_frequency";"island_gradient_angle";"extcutoff";"x_s";"x_nonend"
2,55;1000;0,02;0,975;0,001;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,001;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,001;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,001;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,01;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,01;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,01;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,01;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;Inf;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;Inf;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;Inf;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;Inf;0,03363;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,001;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,001;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,001;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,001;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,01;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,01;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,01;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,01;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;Inf;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;Inf;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;Inf;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;Inf;0,06726;0,0295;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,001;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,001;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,001;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,001;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,01;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,01;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,01;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,01;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;Inf;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;Inf;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;Inf;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;Inf;0,03363;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,001;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,001;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,001;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;1,95;0,001;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;0,975;0,01;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,04;0,975;0,01;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
2,55;1000;0,02;1,95;0,01;0,06726;0,059;0,075;0,1108;"beta";"sine";13500;3155;0,53;2,864;60;25,5;80;1000;0;0
